"time";"cases";"deaths";"hospitalized";"icu";"recovered"
2020-02-29;0;0;;;
2020-03-01;1;0;;;
2020-03-02;1;0;;;
2020-03-03;1;0;;;
2020-03-04;1;0;;;
2020-03-05;1;0;;;
2020-03-06;1;0;;;
2020-03-07;1;0;;;
2020-03-08;1;0;;;
2020-03-09;1;0;;;
2020-03-10;1;0;;;
2020-03-11;1;0;;;
2020-03-12;1;0;;;
2020-03-13;1;0;;;
2020-03-14;1;0;;;
2020-03-15;1;0;;;
2020-03-16;5;1;;;
2020-03-17;6;1;;;
2020-03-18;8;1;;;
2020-03-19;10;1;;;
2020-03-20;14;1;;;
2020-03-21;15;1;;;
2020-03-22;16;1;;;
2020-03-23;18;1;;;
2020-03-24;19;2;;;
2020-03-25;20;2;;;
2020-03-26;20;2;;;
2020-03-27;23;2;;;
2020-03-28;23;2;;;
2020-03-29;27;2;;;
2020-03-30;36;3;;;
2020-03-31;42;4;;;
2020-04-01;42;4;;;
2020-04-02;46;4;;;
2020-04-03;52;4;;;
2020-04-04;54;4;;;
2020-04-05;55;4;;;
2020-04-06;56;4;;;
2020-04-07;58;4;0;0;
2020-04-08;59;4;5;2;
2020-04-09;60;4;5;4;
2020-04-10;60;4;5;4;
2020-04-11;61;4;5;7;
2020-04-12;61;4;5;7;
2020-04-13;62;4;5;8;
2020-04-14;63;4;0;5;
2020-04-15;64;4;0;5;
2020-04-16;64;4;0;5;
2020-04-17;66;4;0;5;
2020-04-18;69;4;0;5;
2020-04-19;70;4;0;5;
2020-04-20;72;4;0;5;
2020-04-21;72;4;0;6;
2020-04-22;72;4;1;5;
2020-04-23;72;4;0;6;
2020-04-24;74;4;0;6;
2020-04-25;74;4;0;5;
2020-04-26;88;4;1;5;
2020-04-27;100;4;0;5;
2020-04-28;100;4;1;6;
2020-04-29;102;4;6;5;
2020-04-30;113;4;6;4;
2020-05-01;116;4;5;4;
2020-05-02;119;4;4;4;
2020-05-03;119;4;4;5;
2020-05-04;125;4;4;5;
2020-05-05;131;4;5;5;
2020-05-06;134;4;3;5;
2020-05-07;135;4;2;4;
2020-05-08;137;4;2;4;
2020-05-09;137;4;2;4;
2020-05-10;139;4;0;4;
2020-05-11;141;4;0;3;
2020-05-12;143;4;1;3;
2020-05-13;143;4;1;3;
2020-05-14;143;4;1;3;
